ID,LOCATION,ACCOMODATION TYPE,FLOOR,ROOM SIZE,BUILDING AGE,DISTANCE FROM SCHOOL,DISTANCE FROM MARKET,TRANSPORT ACCESSIBILITY,WATER SOURCE,LOCATION OF WATER SOURCE,ELECTRICITY RELIABILITY,TOILET TYPE,TOILET LOCATION,GATE?,SECURITY GUARD?,FENCE?,SECURITY?,ENVIRONMENTAL CLEANING,VIBEZ OF ENVIRONMENT,YEARLY RENT,RULES AND REGULATION
108,Odenigwe,Single room,Ground floor,Medium,10-20 years,5-15 min,5-15 min,Moderately accessible,Public tap outside compound,Within compound,Very reliable,Water Closet,Shared,No,No,No,Secure,Tenants,Vibrant,100000,Moderately Strict
109,Odim,Single room,Ground floor,Small,10-20 years,5-15 min,<5 min,Not very accessible,Public tap outside compound,5-15 min,Unreliable,Semi-Water Closet,Shared,No,No,No,Insecure,Tenants,Neutral,60000,Not Strict
110,Hilltop,Self-con,First Floor,Medium,<5 years,15-30 min,15-30 min,Very accessible,In the unit,Within compound,Moderately reliable,Water Closet,En-suite,Yes,Yes,Yes,Very Secure,Caretaker/Cleaner,Vibrant,250000,Moderately Strict
111,Odenigwe,Self-con,Ground floor,Small,10-20 years,15-30 min,5-15 min,Very accessible,Public tap outside compound,Within compound,Very reliable,Pit Latrine,Shared,Yes,No,Yes,Very Secure,No cleaning,Neutral,80000,Moderately Strict
112,Odenigwe,Self-con,Second Floor,Medium,<5 years,15-30 min,<5 min,Very accessible,In the unit,Within compound,Very reliable,Water Closet,En-suite,Yes,Yes,Yes,Very Secure,Caretaker/Cleaner,Neutral,300000,Strict
113,Odim,Self-con,Ground floor,Large,<5 years,5-15 min,<5 min,Moderately accessible,In the unit,5-15 min,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Average,Caretaker/Cleaner,Quiet,200000,Not Strict
114,Odenigwe,Self-con,Second Floor,Medium,<5 years,5-15 min,15-30 min,Very accessible,In the unit,Within compound,Very reliable,Water Closet,En-suite,Yes,No,Yes,Secure,Tenants,Neutral,250000,Moderately Strict
115,Odim,Self-con,Second Floor,Small,<5 years,>30 min,15-30 min,Not very accessible,Borehole outside compound,5-15 min,Moderately reliable,Water Closet,En-suite,No,No,No,Average,Tenants,Quiet,150000,Moderately Strict
116,Behind Flat,Self-con,First Floor,Medium,<5 years,15-30 min,5-15 min,Moderately accessible,Private tap/tank in compound,5-15 min,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Average,Tenants/Caretaker,Quiet,230000,Not Strict
117,Odenigwe,Single room,Ground floor,Medium,10-20 years,15-30 min,15-30 min,Moderately accessible,Borehole outside compound,5-15 min,Very reliable,Semi-Water Closet,Shared,No,No,No,Average,Tenants,Quiet,50000,Moderately Strict
118,Odenigwe,Single room,Ground floor,Medium,10-20 years,15-30 min,15-30 min,Very accessible,Borehole outside compound,5-15 min,Moderately reliable,Water Closet,Shared,Yes,No,No,Average,Tenants,Neutral,85000,Moderately Strict
119,Odenigwe,Self-con,Second Floor,Medium,<5 years,<5 min,5-15 min,Very accessible,Borehole outside compound,5-15 min,Very reliable,Water Closet,En-suite,Yes,Yes,Yes,Very Secure,Caretaker/Cleaner,Vibrant,220000,Moderately Strict
120,Odenigwe,Single room,Ground floor,Large,>20 years,15-30 min,5-15 min,Very accessible,Public tap outside compound,5-15 min,Very reliable,Pit Latrine,Shared,Yes,No,Yes,Insecure,Tenants,Very Quiet,60000,No rules
121,Odenigwe,Self-con,Ground floor,Medium,>20 years,5-15 min,5-15 min,Not very accessible,Private tap/tank in compound,Within compound,Very reliable,Semi-Water Closet,Shared,No,No,No,Average,Tenants,Quiet,60000,Not Strict
122,Odenigwe,Self-con,First Floor,Large,<5 years,5-15 min,15-30 min,Moderately accessible,In the unit,Within compound,Very reliable,Water Closet,En-suite,Yes,Yes,Yes,Very Secure,Caretaker/Cleaner,Neutral,280000,Moderately Strict
123,Hilltop,Self-con,Third Floor,Medium,10-20 years,<5 min,15-30 min,Very accessible,Borehole outside compound,5-15 min,Very reliable,Water Closet,En-suite,Yes,No,Yes,Very Secure,Caretaker/Cleaner,Very Vibrant,200000,Moderately Strict
124,Odim,Self-con,Ground floor,Medium,<5 years,15-30 min,15-30 min,Moderately accessible,In the unit,Within compound,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Secure,Caretaker/Cleaner,Quiet,200000,Moderately Strict
125,Hilltop,Self-con,Ground floor,Medium,<5 years,5-15 min,15-30 min,Moderately accessible,In the unit,Within compound,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Secure,Caretaker/Cleaner,Vibrant,250000,Moderately Strict
126,Odenigwe,Self-con,Ground floor,Medium,10-20 years,5-15 min,15-30 min,Very accessible,Private tap/tank in compound,Within compound,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Average,Caretaker/Cleaner,Neutral,220000,Strict
127,Odenigwe,Single room,Ground floor,Small,>20 years,5-15 min,>30 min,Moderately accessible,Well outside building,Within compound,Very reliable,Water Closet,En-suite,Yes,Yes,Yes,Very Secure,Caretaker/Cleaner,Very Quiet,100000,Very Strict
128,Onuiyi,Self-con,First Floor,Medium,<5 years,5-15 min,>30 min,Very accessible,Private tap/tank in compound,Within compound,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Very Secure,Caretaker/Cleaner,Neutral,180000,Not Strict
129,Onuiyi,Self-con,Ground floor,Small,<5 years,5-15 min,>30 min,Very accessible,In the unit,Within compound,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Average,Caretaker/Cleaner,Vibrant,180000,No rules
130,Odenigwe,Self-con,Ground floor,Medium,<5 years,15-30 min,5-15 min,Moderately accessible,In the unit,Within compound,Very reliable,Semi-Water Closet,En-suite,Yes,No,No,Average,Caretaker/Cleaner,Quiet,150000,Not Strict
131,Odim,Self-con,First Floor,Small,<5 years,<5 min,15-30 min,Moderately accessible,Borehole outside compound,5-15 min,Moderately reliable,Semi-Water Closet,En-suite,Yes,No,Yes,Average,Tenants,Neutral,135000,Not Strict
132,Hilltop,Single room,Ground floor,Medium,10-20 years,15-30 min,15-30 min,Very accessible,Private tap/tank in compound,Within compound,Very reliable,Pit Latrine,Shared,No,No,No,Secure,No cleaning,Neutral,60000,Not Strict
133,Odenigwe,Self-con,Ground floor,Large,10-20 years,5-15 min,15-30 min,Not very accessible,Private tap/tank in compound,Within compound,Very reliable,Pit Latrine,En-suite,Yes,No,Yes,Secure,Caretaker/Cleaner,Neutral,170000,Moderately Strict
134,Odim,Self-con,First Floor,Large,10-20 years,15-30 min,5-15 min,Moderately accessible,In the unit,Within compound,Unreliable,Water Closet,En-suite,Yes,No,Yes,Secure,Caretaker/Cleaner,Vibrant,200000,Moderately Strict
135,Hilltop,Self-con,Ground floor,Small,10-20 years,15-30 min,15-30 min,Not very accessible,Public tap outside compound,5-15 min,Very reliable,Water Closet,En-suite,Yes,No,Yes,Secure,Tenants,Neutral,70000,Not Strict
136,Hilltop,Single room,Second Floor,Medium,<5 years,15-30 min,>30 min,Very accessible,In the unit,Within compound,Very reliable,Water Closet,En-suite,Yes,No,Yes,Very Secure,Caretaker/Cleaner,Neutral,260000,Moderately Strict
137,Hilltop,Self-con,Ground floor,Small,<5 years,5-15 min,5-15 min,Very accessible,Private tap/tank in compound,Within compound,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Average,Caretaker/Cleaner,Quiet,200000,Moderately Strict
138,Behind Flat,Self-con,Third Floor,Small,<5 years,5-15 min,<5 min,Moderately accessible,Private tap/tank in compound,Within compound,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Very Secure,Caretaker/Cleaner,Quiet,170000,Moderately Strict
139,Onuiyi,Single room,Ground floor,Small,>20 years,<5 min,5-15 min,Moderately accessible,Public tap outside compound,Within compound,Moderately reliable,Pit Latrine,Shared,No,No,No,Insecure,Tenants,Neutral,80000,No rules
140,Vet Mountain,Self-con,First Floor,Medium,<5 years,5-15 min,5-15 min,Not accessible,In the unit,Within compound,Moderately reliable,Semi-Water Closet,En-suite,Yes,No,Yes,Average,Tenants,Neutral,150000,Moderately Strict
141,Vet Mountain,Self-con,Ground floor,Small,<5 years,5-15 min,5-15 min,Moderately accessible,Public tap outside compound,5-15 min,Unreliable,Semi-Water Closet,En-suite,No,No,No,Very Secure,Caretaker/Cleaner,Quiet,150000,No rules
