ID,LOCATION,ACCOMODATION TYPE,FLOOR,ROOM SIZE,BUILDING AGE,DISTANCE FROM SCHOOL,DISTANCE FROM MARKET,TRANSPORT ACCESSIBILITY,WATER SOURCE,LOCATION OF WATER SOURCE,ELECTRICITY RELIABILITY,TOILET TYPE,TOILET LOCATION,GATE?,SECURITY GUARD?,FENCE?,SECURITY?,ENVIRONMENTAL CLEANING,VIBEZ OF ENVIRONMENT,YEARLY RENT,RULES AND REGULATION
20,Hilltop,Self-con,First Floor,Small,<5 years,15-30 min,>30 min,Not very accessible,Borehole outside compound,15-30 min,Moderately reliable,Semi-Water Closet,En-suite,No,No,No,Insecure,Tenants,Neutral,150000,Not Strict
21,Hilltop,Self-con,First Floor,Large,<5 years,15-30 min,>30 min,Moderately accessible,In the unit,Within compound,Very reliable,Water Closet,En-suite,Yes,Yes,Yes,Secure,Caretaker/Cleaner,Neutral,300000,Moderately Strict
22,Hilltop,Self-con,Third Floor,Medium,<5 years,5-15 min,>30 min,Not very accessible,In the unit,Within compound,Very reliable,Water Closet,En-suite,Yes,No,Yes,Secure,Caretaker/Cleaner,Neutral,250000,Strict
23,Odim,Single room,Ground floor,Small,10-20 years,15-30 min,<5 min,Moderately accessible,Borehole outside compound,5-15 min,Unreliable,Pit Latrine,Shared,Yes,No,Yes,Average,Tenants,Quiet,100000,Not Strict
24,Vet Mountain,Self-con,First Floor,Medium,<5 years,15-30 min,>30 min,Not very accessible,In the unit,Within compound,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Average,Caretaker/Cleaner,Neutral,150000,Not Strict
25,Greenhouse,Self-con,First Floor,Large,10-20 years,<5 min,5-15 min,Very accessible,In the unit,Within compound,No Light,Water Closet,En-suite,Yes,Yes,Yes,Very Secure,Caretaker/Cleaner,Very Vibrant,180000,Strict
26,Odim,Self-con,Ground floor,Medium,10-20 years,<5 min,5-15 min,Not accessible,Public tap outside compound,5-15 min,Very reliable,Pit Latrine,En-suite,Yes,No,Yes,Average,Tenants,Quiet,200000,No rules
27,Odim,Self-con,Bungalow ,Medium,<5 years,5-15 min,>30 min,Not very accessible,Borehole outside compound,Within compound,Unreliable,Semi-Water Closet,En-suite,Yes,No,No,Average,Tenants,Quiet,120000,Not Strict
28,Hilltop,Self-con,Ground floor,Medium,<5 years,5-15 min,>30 min,Moderately accessible,Public tap outside compound,Within compound,No Light,Water Closet,En-suite,Yes,No,Yes,Average,Tenants,Very Vibrant,170000,Moderately Strict
29,Hilltop,Self-con,First Floor,Medium,10-20 years,5-15 min,15-30 min,Very accessible,Public tap outside compound,Within compound,Moderately reliable,Water Closet,En-suite,Yes,Yes,Yes,Very Secure,Tenants,Quiet,100000,Very Strict
30,Odim,Self-con,Ground floor,Medium,10-20 years,<5 min,5-15 min,Not accessible,Public tap outside compound,5-15 min,Moderately reliable,Pit Latrine,En-suite,Yes,No,Yes,Average,Tenants,Neutral,200000,No rules
31,Odenigwe,Self-con,First Floor,Medium,10-20 years,15-30 min,>30 min,Not very accessible,People selling water ,5-15 min,Moderately reliable,Water Closet,En-suite,Yes,No,Yes,Average,No cleaning,Neutral,150000,Strict
